,Date
0,1980-12-12
1,1980-12-15
2,1980-12-16
3,1980-12-17
4,1980-12-18
5,1980-12-19
6,1980-12-22
7,1980-12-23
8,1980-12-24
9,1980-12-26
10,1980-12-29
11,1980-12-30
12,1980-12-31
13,1981-02-01
14,1981-05-01
15,1981-06-01
16,1981-07-01
17,1981-08-01
18,1981-09-01
19,1981-12-01
20,1981-01-13
21,1981-01-14
22,1981-01-15
23,1981-01-16
24,1981-01-19
25,1981-01-20
26,1981-01-21
27,1981-01-22
28,1981-01-23
29,1981-01-26
30,1981-01-27
31,1981-01-28
32,1981-01-29
33,1981-01-30
34,1981-02-02
35,1981-03-02
36,1981-04-02
37,1981-05-02
38,1981-06-02
39,1981-09-02
40,1981-10-02
41,1981-11-02
42,1981-12-02
43,1981-02-13
44,1981-02-17
45,1981-02-18
46,1981-02-19
47,1981-02-20
48,1981-02-23
49,1981-02-24
50,1981-02-25
51,1981-02-26
52,1981-02-27
53,1981-02-03
54,1981-03-03
55,1981-04-03
56,1981-05-03
57,1981-06-03
58,1981-09-03
59,1981-10-03
60,1981-11-03
61,1981-12-03
62,1981-03-13
63,1981-03-16
64,1981-03-17
65,1981-03-18
66,1981-03-19
67,1981-03-20
68,1981-03-23
69,1981-03-24
70,1981-03-25
71,1981-03-26
72,1981-03-27
73,1981-03-30
74,1981-03-31
75,1981-01-04
76,1981-02-04
77,1981-03-04
78,1981-06-04
79,1981-07-04
80,1981-08-04
81,1981-09-04
82,1981-10-04
83,1981-04-13
84,1981-04-14
85,1981-04-15
86,1981-04-16
87,1981-04-20
88,1981-04-21
89,1981-04-22
90,1981-04-23
91,1981-04-24
92,1981-04-27
93,1981-04-28
94,1981-04-29
95,1981-04-30
96,1981-01-05
97,1981-04-05
98,1981-05-05
99,1981-06-05
100,1981-07-05
101,1981-08-05
102,1981-11-05
103,1981-12-05
104,1981-05-13
105,1981-05-14
106,1981-05-15
107,1981-05-18
108,1981-05-19
109,1981-05-20
110,1981-05-21
111,1981-05-22
112,1981-05-26
113,1981-05-27
114,1981-05-28
115,1981-05-29
116,1981-01-06
117,1981-02-06
118,1981-03-06
119,1981-04-06
120,1981-05-06
121,1981-08-06
122,1981-09-06
123,1981-10-06
124,1981-11-06
125,1981-12-06
126,1981-06-15
127,1981-06-16
128,1981-06-17
129,1981-06-18
130,1981-06-19
131,1981-06-22
132,1981-06-23
133,1981-06-24
134,1981-06-25
135,1981-06-26
136,1981-06-29
137,1981-06-30
138,1981-01-07
139,1981-02-07
140,1981-06-07
141,1981-07-07
142,1981-08-07
143,1981-09-07
144,1981-10-07
145,1981-07-13
146,1981-07-14
147,1981-07-15
148,1981-07-16
149,1981-07-17
150,1981-07-20
151,1981-07-21
152,1981-07-22
153,1981-07-23
154,1981-07-24
155,1981-07-27
156,1981-07-28
157,1981-07-29
158,1981-07-30
159,1981-07-31
160,1981-03-08
161,1981-04-08
162,1981-05-08
163,1981-06-08
164,1981-07-08
165,1981-10-08
166,1981-11-08
167,1981-12-08
168,1981-08-13
169,1981-08-14
170,1981-08-17
171,1981-08-18
