,Date
0,12/12/80
1,12/15/80
2,12/16/80
3,12/17/80
4,12/18/80
5,12/19/80
6,12/22/80
7,12/23/80
8,12/24/80
9,12/26/80
10,12/29/80
11,12/30/80
12,12/31/80
13,02/01/81
14,05/01/81
15,06/01/81
16,07/01/81
17,08/01/81
18,09/01/81
19,12/01/81
20,01/13/81
21,01/14/81
22,01/15/81
23,01/16/81
24,01/19/81
25,01/20/81
26,01/21/81
27,01/22/81
28,01/23/81
29,01/26/81
30,01/27/81
31,01/28/81
32,01/29/81
33,01/30/81
34,02/02/81
35,03/02/81
36,04/02/81
37,05/02/81
38,06/02/81
39,09/02/81
40,10/02/81
41,11/02/81
42,12/02/81
43,02/13/81
44,02/17/81
45,02/18/81
46,02/19/81
47,02/20/81
48,02/23/81
49,02/24/81
50,02/25/81
51,02/26/81
52,02/27/81
53,02/03/81
54,03/03/81
55,04/03/81
56,05/03/81
57,06/03/81
58,09/03/81
59,10/03/81
60,11/03/81
61,12/03/81
62,03/13/81
63,03/16/81
64,03/17/81
65,03/18/81
66,03/19/81
67,03/20/81
68,03/23/81
69,03/24/81
70,03/25/81
71,03/26/81
72,03/27/81
73,03/30/81
74,03/31/81
75,01/04/81
76,02/04/81
77,03/04/81
78,06/04/81
79,07/04/81
80,08/04/81
81,09/04/81
82,10/04/81
83,04/13/81
84,04/14/81
85,04/15/81
86,04/16/81
87,04/20/81
88,04/21/81
89,04/22/81
90,04/23/81
91,04/24/81
92,04/27/81
93,04/28/81
94,04/29/81
95,04/30/81
96,01/05/81
97,04/05/81
98,05/05/81
99,06/05/81
100,07/05/81
101,08/05/81
102,11/05/81
103,12/05/81
104,05/13/81
105,05/14/81
106,05/15/81
107,05/18/81
108,05/19/81
109,05/20/81
110,05/21/81
111,05/22/81
112,05/26/81
113,05/27/81
114,05/28/81
115,05/29/81
116,01/06/81
117,02/06/81
118,03/06/81
119,04/06/81
120,05/06/81
121,08/06/81
122,09/06/81
123,10/06/81
124,11/06/81
