Date,Day_Month,Year,Month,Season,Quarter,Open,High,Low,Close,Adj Close,Volume,Open_Change,High_Change,Low_Change,Close_Change,Volume_Change,Gain_Loss_Open,Gain_Loss_High,Gain_Loss_Low,Gain_Loss_Close,Gain_Loss_Volume
12/12/80,12/12,1980,12,Winter,Q4,0.128348,0.128906,0.128348,0.128348,0.100751,469033600,0.128348,0.128906,0.128348,0.128348,0,Gain,Gain,Gain,Gain,Gain
12/15/80,12/15,1980,12,Winter,Q4,0.12221,0.12221,0.121652,0.121652,0.095495,175884800,-0.006138,-0.006696,-0.006696,-0.006696,-293148800,Loss,Loss,Loss,Loss,Loss
12/16/80,12/16,1980,12,Winter,Q4,0.113281,0.113281,0.112723,0.112723,0.088485,105728000,-0.008929,-0.008929,-0.008929,-0.008929,-70156800,Loss,Loss,Loss,Loss,Loss
12/17/80,12/17,1980,12,Winter,Q4,0.115513,0.116071,0.115513,0.115513,0.090676,86441600,0.002232,0.00279,0.00279,0.00279,-19286400,Gain,Gain,Gain,Gain,Loss
12/18/80,12/18,1980,12,Winter,Q4,0.118862,0.11942,0.118862,0.118862,0.093304,73449600,0.003349,0.003349,0.003349,0.003349,-12992000,Gain,Gain,Gain,Gain,Loss
12/19/80,12/19,1980,12,Winter,Q4,0.126116,0.126674,0.126116,0.126116,0.098999,48630400,0.007254,0.007254,0.007254,0.007254,-24819200,Gain,Gain,Gain,Gain,Loss
12/22/80,12/22,1980,12,Winter,Q4,0.132254,0.132813,0.132254,0.132254,0.103817,37363200,0.006138,0.006139,0.006138,0.006138,-11267200,Gain,Gain,Gain,Gain,Loss
12/23/80,12/23,1980,12,Winter,Q4,0.137835,0.138393,0.137835,0.137835,0.108198,46950400,0.005581,0.00558,0.005581,0.005581,9587200,Gain,Gain,Gain,Gain,Gain
12/24/80,12/24,1980,12,Winter,Q4,0.145089,0.145647,0.145089,0.145089,0.113892,48003200,0.007254,0.007254,0.007254,0.007254,1052800,Gain,Gain,Gain,Gain,Gain
12/26/80,12/26,1980,12,Winter,Q4,0.158482,0.15904,0.158482,0.158482,0.124405,55574400,0.013393,0.013393,0.013393,0.013393,7571200,Gain,Gain,Gain,Gain,Gain
12/29/80,12/29,1980,12,Winter,Q4,0.160714,0.161272,0.160714,0.160714,0.126158,93161600,0.002232,0.002232,0.002232,0.002232,37587200,Gain,Gain,Gain,Gain,Gain
12/30/80,12/30,1980,12,Winter,Q4,0.157366,0.157366,0.156808,0.156808,0.123091,68880000,-0.003348,-0.003906,-0.003906,-0.003906,-24281600,Loss,Loss,Loss,Loss,Loss
12/31/80,12/31,1980,12,Winter,Q4,0.152902,0.152902,0.152344,0.152344,0.119587,35750400,-0.004464,-0.004464,-0.004464,-0.004464,-33129600,Loss,Loss,Loss,Loss,Loss
1/4/81,01/04,1981,1,Winter,Q1,0.108817,0.108817,0.108259,0.108259,0.084981,34070400,-0.044085,-0.044085,-0.044085,-0.044085,-1680000,Loss,Loss,Loss,Loss,Loss
1/5/81,01/05,1981,1,Winter,Q1,0.126674,0.12779,0.126674,0.126674,0.099437,16553600,0.017857,0.018973,0.018415,0.018415,-17516800,Gain,Gain,Gain,Gain,Loss
1/6/81,01/06,1981,1,Winter,Q1,0.147879,0.148438,0.147879,0.147879,0.116082,51251200,0.021205,0.020648,0.021205,0.021205,34697600,Gain,Gain,Gain,Gain,Gain
1/7/81,01/07,1981,1,Winter,Q1,0.115513,0.115513,0.114955,0.114955,0.090238,170464000,-0.032366,-0.032925,-0.032924,-0.032924,119212800,Loss,Loss,Loss,Loss,Gain
1/9/81,01/09,1981,1,Winter,Q1,0.095424,0.095982,0.095424,0.095424,0.074906,37027200,-0.020089,-0.019531,-0.019531,-0.019531,-133436800,Loss,Loss,Loss,Loss,Loss
1/10/81,01/10,1981,1,Winter,Q1,0.06808,0.068638,0.06808,0.06808,0.053442,61129600,-0.027344,-0.027344,-0.027344,-0.027344,24102400,Loss,Loss,Loss,Loss,Gain
1/12/81,01/12,1981,1,Winter,Q1,0.083147,0.083705,0.083147,0.083147,0.065269,23385600,0.015067,0.015067,0.015067,0.015067,-37744000,Gain,Gain,Gain,Gain,Loss
1/13/81,01/13,1981,1,Winter,Q1,0.136719,0.136719,0.136161,0.136161,0.106884,23049600,0.053572,0.053014,0.053014,0.053014,-336000,Gain,Gain,Gain,Gain,Loss
1/14/81,01/14,1981,1,Winter,Q1,0.136719,0.137277,0.136719,0.136719,0.107322,14291200,0,0.000558,0.000558,0.000558,-8758400,Gain,Gain,Gain,Gain,Loss
1/15/81,01/15,1981,1,Winter,Q1,0.139509,0.140625,0.139509,0.139509,0.109512,14067200,0.00279,0.003348,0.00279,0.00279,-224000,Gain,Gain,Gain,Gain,Loss
1/16/81,01/16,1981,1,Winter,Q1,0.138951,0.138951,0.138393,0.138393,0.108636,13395200,-0.000558,-0.001674,-0.001116,-0.001116,-672000,Loss,Loss,Loss,Loss,Loss
1/19/81,01/19,1981,1,Winter,Q1,0.146763,0.147321,0.146763,0.146763,0.115206,41574400,0.007812,0.00837,0.00837,0.00837,28179200,Gain,Gain,Gain,Gain,Gain
1/20/81,01/20,1981,1,Winter,Q1,0.142857,0.142857,0.142299,0.142299,0.111702,30083200,-0.003906,-0.004464,-0.004464,-0.004464,-11491200,Loss,Loss,Loss,Loss,Loss
1/21/81,01/21,1981,1,Winter,Q1,0.145089,0.146205,0.145089,0.145089,0.113892,15904000,0.002232,0.003348,0.00279,0.00279,-14179200,Gain,Gain,Gain,Gain,Loss
1/22/81,01/22,1981,1,Winter,Q1,0.146763,0.147879,0.146763,0.146763,0.115206,35548800,0.001674,0.001674,0.001674,0.001674,19644800,Gain,Gain,Gain,Gain,Gain
1/23/81,01/23,1981,1,Winter,Q1,0.146763,0.147321,0.146205,0.146205,0.114768,11222400,0,-0.000558,-0.000558,-0.000558,-24326400,Gain,Loss,Loss,Loss,Loss
1/26/81,01/26,1981,1,Winter,Q1,0.144531,0.144531,0.143973,0.143973,0.113016,24640000,-0.002232,-0.00279,-0.002232,-0.002232,13417600,Loss,Loss,Loss,Loss,Gain
1/27/81,01/27,1981,1,Winter,Q1,0.143973,0.143973,0.142857,0.142857,0.11214,23699200,-0.000558,-0.000558,-0.001116,-0.001116,-940800,Loss,Loss,Loss,Loss,Loss
1/28/81,01/28,1981,1,Winter,Q1,0.138951,0.138951,0.138393,0.138393,0.108636,28156800,-0.005022,-0.005022,-0.004464,-0.004464,4457600,Loss,Loss,Loss,Loss,Gain
1/29/81,01/29,1981,1,Winter,Q1,0.133929,0.133929,0.133371,0.133371,0.104694,43904000,-0.005022,-0.005022,-0.005022,-0.005022,15747200,Loss,Loss,Loss,Loss,Gain
1/30/81,01/30,1981,1,Winter,Q1,0.127232,0.127232,0.126116,0.126116,0.098999,46188800,-0.006697,-0.006697,-0.007255,-0.007255,2284800,Loss,Loss,Loss,Loss,Gain
2/1/81,02/01,1981,2,Winter,Q1,0.154018,0.155134,0.154018,0.154018,0.120901,21660800,0.026786,0.027902,0.027902,0.027902,-24528000,Gain,Gain,Gain,Gain,Loss
2/2/81,02/02,1981,2,Winter,Q1,0.11942,0.11942,0.118862,0.118862,0.093304,23766400,-0.034598,-0.035714,-0.035156,-0.035156,2105600,Loss,Loss,Loss,Loss,Gain
2/3/81,02/03,1981,2,Winter,Q1,0.118862,0.11942,0.118862,0.118862,0.093304,11760000,-0.000558,0,0,0,-12006400,Loss,Gain,Gain,Gain,Loss
2/4/81,02/04,1981,2,Winter,Q1,0.117746,0.118304,0.117746,0.117746,0.092428,31404800,-0.001116,-0.001116,-0.001116,-0.001116,19644800,Loss,Loss,Loss,Loss,Gain
2/6/81,02/06,1981,2,Winter,Q1,0.141183,0.141183,0.140625,0.140625,0.110388,40432000,0.023437,0.022879,0.022879,0.022879,9027200,Gain,Gain,Gain,Gain,Gain
2/7/81,02/07,1981,2,Winter,Q1,0.114955,0.115513,0.114955,0.114955,0.090238,30284800,-0.026228,-0.02567,-0.02567,-0.02567,-10147200,Loss,Loss,Loss,Loss,Loss
2/9/81,02/09,1981,2,Winter,Q1,0.097098,0.097656,0.097098,0.097098,0.07622,19376000,-0.017857,-0.017857,-0.017857,-0.017857,-10908800,Loss,Loss,Loss,Loss,Loss
