,Date,Open,High,Low,Close,Adj Close,Volume,Open_Change,Gain_Loss_Open
0.0,723161,0.128348,0.128906,0.128348,0.128348,0.100751,469033600.0,0.128348,1
1.0,723164,0.12220999999999999,0.12220999999999999,0.121652,0.121652,0.09549500000000001,175884800.0,-0.006138,0
2.0,723165,0.11328099999999999,0.11328099999999999,0.112723,0.112723,0.08848500000000001,105728000.0,-0.008929000000000001,0
3.0,723166,0.115513,0.11607100000000001,0.115513,0.115513,0.09067599999999999,86441600.0,0.002232,1
4.0,723167,0.118862,0.11942,0.118862,0.118862,0.093304,73449600.0,0.0033490000000000004,1
5.0,723168,0.126116,0.126674,0.126116,0.126116,0.098999,48630400.0,0.007254000000000001,1
6.0,723171,0.13225399999999998,0.13281300000000001,0.13225399999999998,0.13225399999999998,0.103817,37363200.0,0.006138,1
7.0,723172,0.13783499999999999,0.13839300000000002,0.13783499999999999,0.13783499999999999,0.108198,46950400.0,0.005581,1
8.0,723173,0.14508900000000002,0.145647,0.14508900000000002,0.14508900000000002,0.11389200000000001,48003200.0,0.007254000000000001,1
9.0,723175,0.15848199999999998,0.15904000000000001,0.15848199999999998,0.15848199999999998,0.124405,55574400.0,0.013393,1
10.0,723178,0.16071400000000002,0.161272,0.16071400000000002,0.16071400000000002,0.126158,93161600.0,0.002232,1
11.0,723179,0.157366,0.157366,0.156808,0.156808,0.123091,68880000.0,-0.003348,0
12.0,723180,0.152902,0.152902,0.152344,0.152344,0.11958699999999998,35750400.0,-0.004464,0
13.0,723184,0.10881700000000001,0.10881700000000001,0.108259,0.108259,0.084981,34070400.0,-0.044085,0
14.0,723185,0.126674,0.12779000000000001,0.126674,0.126674,0.099437,16553600.0,0.017856999999999998,1
15.0,723186,0.14787899999999998,0.14843800000000001,0.14787899999999998,0.14787899999999998,0.11608199999999999,51251200.0,0.021205,1
16.0,723187,0.115513,0.115513,0.114955,0.114955,0.090238,170464000.0,-0.032366000000000006,0
17.0,723189,0.095424,0.09598200000000001,0.095424,0.095424,0.074906,37027200.0,-0.020089,0
18.0,723190,0.06808,0.068638,0.06808,0.06808,0.053441999999999996,61129600.0,-0.027344,0
19.0,723192,0.083147,0.083705,0.083147,0.083147,0.06526900000000001,23385600.0,0.015066999999999999,1
20.0,723193,0.136719,0.136719,0.13616099999999998,0.13616099999999998,0.10688399999999999,23049600.0,0.053572,1
21.0,723194,0.136719,0.137277,0.136719,0.136719,0.107322,14291200.0,0.0,1
22.0,723195,0.139509,0.140625,0.139509,0.139509,0.10951199999999998,14067200.0,0.00279,1
23.0,723196,0.138951,0.138951,0.13839300000000002,0.13839300000000002,0.108636,13395200.0,-0.000558,0
24.0,723199,0.146763,0.147321,0.146763,0.146763,0.11520599999999999,41574400.0,0.007812,1
25.0,723200,0.14285699999999998,0.14285699999999998,0.142299,0.142299,0.111702,30083200.0,-0.003906,0
26.0,723201,0.14508900000000002,0.146205,0.14508900000000002,0.14508900000000002,0.11389200000000001,15904000.0,0.002232,1
27.0,723202,0.146763,0.14787899999999998,0.146763,0.146763,0.11520599999999999,35548800.0,0.001674,1
28.0,723203,0.146763,0.147321,0.146205,0.146205,0.11476800000000001,11222400.0,0.0,1
29.0,723206,0.144531,0.144531,0.143973,0.143973,0.113016,24640000.0,-0.002232,0
30.0,723207,0.143973,0.143973,0.14285699999999998,0.14285699999999998,0.11214,23699200.0,-0.000558,0
31.0,723208,0.138951,0.138951,0.13839300000000002,0.13839300000000002,0.108636,28156800.0,-0.0050219999999999996,0
32.0,723209,0.133929,0.133929,0.13337100000000002,0.13337100000000002,0.10469400000000001,43904000.0,-0.0050219999999999996,0
33.0,723210,0.12723199999999998,0.12723199999999998,0.126116,0.126116,0.098999,46188800.0,-0.006697,0
34.0,723212,0.15401800000000002,0.155134,0.15401800000000002,0.15401800000000002,0.120901,21660800.0,0.026786,1
35.0,723213,0.11942,0.11942,0.118862,0.118862,0.093304,23766400.0,-0.034598000000000004,0
36.0,723214,0.118862,0.11942,0.118862,0.118862,0.093304,11760000.0,-0.000558,0
37.0,723215,0.117746,0.11830399999999999,0.117746,0.117746,0.092428,31404800.0,-0.001116,0
38.0,723217,0.141183,0.141183,0.140625,0.140625,0.11038800000000001,40432000.0,0.023437,1
39.0,723218,0.114955,0.115513,0.114955,0.114955,0.090238,30284800.0,-0.026227999999999998,0
40.0,723220,0.097098,0.09765599999999999,0.097098,0.097098,0.07622000000000001,19376000.0,-0.017856999999999998,0
41.0,723221,0.073661,0.07421900000000001,0.073661,0.073661,0.057823,45046400.0,-0.023437,0
42.0,723222,0.089286,0.08984400000000001,0.089286,0.089286,0.070088,36915200.0,0.015625,1
43.0,723223,0.083705,0.084263,0.083705,0.083705,0.065707,37564800.0,-0.005581,0
44.0,723224,0.114955,0.114955,0.11383900000000001,0.11383900000000001,0.089362,11155200.0,0.03125,1
45.0,723228,0.116629,0.11718800000000001,0.116629,0.116629,0.091552,12275200.0,0.001674,1
46.0,723229,0.121652,0.122768,0.121652,0.121652,0.09549500000000001,19241600.0,0.005023,1
47.0,723230,0.114955,0.114955,0.114397,0.114397,0.0898,22310400.0,-0.006697,0
48.0,723231,0.10881700000000001,0.10881700000000001,0.108259,0.108259,0.084981,24371200.0,-0.006138,0
