Date,Day_Month,Quarter,Season
12/12/80,12-Dec,Q4,Winter
12/15/80,15-Dec,Q4,Winter
12/16/80,16-Dec,Q4,Winter
12/17/80,17-Dec,Q4,Winter
12/18/80,18-Dec,Q4,Winter
12/19/80,19-Dec,Q4,Winter
12/22/80,22-Dec,Q4,Winter
12/23/80,23-Dec,Q4,Winter
12/24/80,24-Dec,Q4,Winter
12/26/80,26-Dec,Q4,Winter
12/29/80,29-Dec,Q4,Winter
12/30/80,30-Dec,Q4,Winter
12/31/80,31-Dec,Q4,Winter
1/4/81,4-Jan,Q1,Winter
1/5/81,5-Jan,Q1,Winter
1/6/81,6-Jan,Q1,Winter
1/7/81,7-Jan,Q1,Winter
1/9/81,9-Jan,Q1,Winter
1/10/81,10-Jan,Q1,Winter
1/12/81,12-Jan,Q1,Winter
1/13/81,13-Jan,Q1,Winter
1/14/81,14-Jan,Q1,Winter
1/15/81,15-Jan,Q1,Winter
1/16/81,16-Jan,Q1,Winter
1/19/81,19-Jan,Q1,Winter
1/20/81,20-Jan,Q1,Winter
1/21/81,21-Jan,Q1,Winter
1/22/81,22-Jan,Q1,Winter
1/23/81,23-Jan,Q1,Winter
1/26/81,26-Jan,Q1,Winter
1/27/81,27-Jan,Q1,Winter
1/28/81,28-Jan,Q1,Winter
1/29/81,29-Jan,Q1,Winter
1/30/81,30-Jan,Q1,Winter
2/1/81,1-Feb,Q1,Winter
2/2/81,2-Feb,Q1,Winter
2/3/81,3-Feb,Q1,Winter
2/4/81,4-Feb,Q1,Winter
2/6/81,6-Feb,Q1,Winter
2/7/81,7-Feb,Q1,Winter
2/9/81,9-Feb,Q1,Winter
2/10/81,10-Feb,Q1,Winter
2/11/81,11-Feb,Q1,Winter
2/12/81,12-Feb,Q1,Winter
2/13/81,13-Feb,Q1,Winter
2/17/81,17-Feb,Q1,Winter
2/18/81,18-Feb,Q1,Winter
2/19/81,19-Feb,Q1,Winter
2/20/81,20-Feb,Q1,Winter
2/23/81,23-Feb,Q1,Winter
2/24/81,24-Feb,Q1,Winter
2/25/81,25-Feb,Q1,Winter
2/26/81,26-Feb,Q1,Winter
2/27/81,27-Feb,Q1,Winter
3/2/81,2-Mar,Q1,Spring
3/3/81,3-Mar,Q1,Spring
3/4/81,4-Mar,Q1,Spring
3/6/81,6-Mar,Q1,Spring
3/8/81,8-Mar,Q1,Spring
3/9/81,9-Mar,Q1,Spring
3/11/81,11-Mar,Q1,Spring
3/12/81,12-Mar,Q1,Spring
3/13/81,13-Mar,Q1,Spring
3/16/81,16-Mar,Q1,Spring
3/17/81,17-Mar,Q1,Spring
3/18/81,18-Mar,Q1,Spring
3/19/81,19-Mar,Q1,Spring
3/20/81,20-Mar,Q1,Spring
3/23/81,23-Mar,Q1,Spring
3/24/81,24-Mar,Q1,Spring
3/25/81,25-Mar,Q1,Spring
3/26/81,26-Mar,Q1,Spring
3/27/81,27-Mar,Q1,Spring
3/30/81,30-Mar,Q1,Spring
3/31/81,31-Mar,Q1,Spring
4/2/81,2-Apr,Q2,Spring
4/3/81,3-Apr,Q2,Spring
4/5/81,5-Apr,Q2,Spring
4/6/81,6-Apr,Q2,Spring
4/8/81,8-Apr,Q2,Spring
4/9/81,9-Apr,Q2,Spring
4/11/81,11-Apr,Q2,Spring
4/12/81,12-Apr,Q2,Spring
4/13/81,13-Apr,Q2,Spring
4/14/81,14-Apr,Q2,Spring
4/15/81,15-Apr,Q2,Spring
4/16/81,16-Apr,Q2,Spring
4/20/81,20-Apr,Q2,Spring
4/21/81,21-Apr,Q2,Spring
4/22/81,22-Apr,Q2,Spring
4/23/81,23-Apr,Q2,Spring
4/24/81,24-Apr,Q2,Spring
4/27/81,27-Apr,Q2,Spring
4/28/81,28-Apr,Q2,Spring
4/29/81,29-Apr,Q2,Spring
4/30/81,30-Apr,Q2,Spring
5/1/81,1-May,Q2,Spring
5/2/81,2-May,Q2,Spring
5/3/81,3-May,Q2,Spring
5/5/81,5-May,Q2,Spring
5/6/81,6-May,Q2,Spring
5/8/81,8-May,Q2,Spring
5/10/81,10-May,Q2,Spring
5/11/81,11-May,Q2,Spring
5/13/81,13-May,Q2,Spring
5/14/81,14-May,Q2,Spring
5/15/81,15-May,Q2,Spring
5/18/81,18-May,Q2,Spring
5/19/81,19-May,Q2,Spring
5/20/81,20-May,Q2,Spring
5/21/81,21-May,Q2,Spring
5/22/81,22-May,Q2,Spring
5/26/81,26-May,Q2,Spring
5/27/81,27-May,Q2,Spring
5/28/81,28-May,Q2,Spring
5/29/81,29-May,Q2,Spring
6/1/81,1-Jun,Q2,Summer
6/2/81,2-Jun,Q2,Summer
6/3/81,3-Jun,Q2,Summer
6/4/81,4-Jun,Q2,Summer
6/5/81,5-Jun,Q2,Summer
6/7/81,7-Jun,Q2,Summer
6/8/81,8-Jun,Q2,Summer
6/10/81,10-Jun,Q2,Summer
6/11/81,11-Jun,Q2,Summer
6/15/81,15-Jun,Q2,Summer
6/16/81,16-Jun,Q2,Summer
6/17/81,17-Jun,Q2,Summer
6/18/81,18-Jun,Q2,Summer
6/19/81,19-Jun,Q2,Summer
6/22/81,22-Jun,Q2,Summer
6/23/81,23-Jun,Q2,Summer
6/24/81,24-Jun,Q2,Summer
6/25/81,25-Jun,Q2,Summer
6/26/81,26-Jun,Q2,Summer
6/29/81,29-Jun,Q2,Summer
6/30/81,30-Jun,Q2,Summer
7/1/81,1-Jul,Q3,Summer
7/4/81,4-Jul,Q3,Summer
7/5/81,5-Jul,Q3,Summer
7/7/81,7-Jul,Q3,Summer
7/8/81,8-Jul,Q3,Summer
7/10/81,10-Jul,Q3,Summer
7/12/81,12-Jul,Q3,Summer
7/13/81,13-Jul,Q3,Summer
7/14/81,14-Jul,Q3,Summer
7/15/81,15-Jul,Q3,Summer
7/16/81,16-Jul,Q3,Summer
7/17/81,17-Jul,Q3,Summer
7/20/81,20-Jul,Q3,Summer
7/21/81,21-Jul,Q3,Summer
7/22/81,22-Jul,Q3,Summer
7/23/81,23-Jul,Q3,Summer
7/24/81,24-Jul,Q3,Summer
7/27/81,27-Jul,Q3,Summer
7/28/81,28-Jul,Q3,Summer
7/29/81,29-Jul,Q3,Summer
7/30/81,30-Jul,Q3,Summer
7/31/81,31-Jul,Q3,Summer
8/1/81,1-Aug,Q3,Summer
8/4/81,4-Aug,Q3,Summer
8/5/81,5-Aug,Q3,Summer
8/6/81,6-Aug,Q3,Summer
8/7/81,7-Aug,Q3,Summer
8/9/81,9-Aug,Q3,Summer
8/10/81,10-Aug,Q3,Summer
8/12/81,12-Aug,Q3,Summer
8/13/81,13-Aug,Q3,Summer
8/14/81,14-Aug,Q3,Summer
8/17/81,17-Aug,Q3,Summer
8/18/81,18-Aug,Q3,Summer
8/19/81,19-Aug,Q3,Summer
8/20/81,20-Aug,Q3,Summer
8/21/81,21-Aug,Q3,Summer
8/24/81,24-Aug,Q3,Summer
8/25/81,25-Aug,Q3,Summer
8/26/81,26-Aug,Q3,Summer
8/27/81,27-Aug,Q3,Summer
8/28/81,28-Aug,Q3,Summer
8/31/81,31-Aug,Q3,Summer
9/1/81,1-Sep,Q3,Fall
9/2/81,2-Sep,Q3,Fall
9/3/81,3-Sep,Q3,Fall
9/4/81,4-Sep,Q3,Fall
9/6/81,6-Sep,Q3,Fall
9/7/81,7-Sep,Q3,Fall
9/9/81,9-Sep,Q3,Fall
9/10/81,10-Sep,Q3,Fall
9/11/81,11-Sep,Q3,Fall
9/12/81,12-Sep,Q3,Fall
9/14/81,14-Sep,Q3,Fall
9/15/81,15-Sep,Q3,Fall
9/16/81,16-Sep,Q3,Fall
9/17/81,17-Sep,Q3,Fall
9/18/81,18-Sep,Q3,Fall
9/21/81,21-Sep,Q3,Fall
9/22/81,22-Sep,Q3,Fall
9/23/81,23-Sep,Q3,Fall
9/24/81,24-Sep,Q3,Fall
9/25/81,25-Sep,Q3,Fall
9/28/81,28-Sep,Q3,Fall
9/29/81,29-Sep,Q3,Fall
9/30/81,30-Sep,Q3,Fall
10/2/81,2-Oct,Q4,Fall
10/3/81,3-Oct,Q4,Fall
10/4/81,4-Oct,Q4,Fall
10/6/81,6-Oct,Q4,Fall
10/7/81,7-Oct,Q4,Fall
